"COU","Country","IND","Indicator","SEX","Sex","AGE","Age Group","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"SVN","Slovenia","EMP16","Expected number of years in retirement, by sex","MEN","Men","TOTAL","Total","2010","2010","YR","Years","0","Units",,,20.8,,
"SVN","Slovenia","EMP16","Expected number of years in retirement, by sex","MEN","Men","TOTAL","Total","2012","2012","YR","Years","0","Units",,,20,,
"SVN","Slovenia","EMP16","Expected number of years in retirement, by sex","WOMEN","Women","TOTAL","Total","2010","2010","YR","Years","0","Units",,,27.9,,
"SVN","Slovenia","EMP16","Expected number of years in retirement, by sex","WOMEN","Women","TOTAL","Total","2012","2012","YR","Years","0","Units",,,26.1,,
"ZAF","South Africa","EMP16","Expected number of years in retirement, by sex","MEN","Men","TOTAL","Total","2012","2012","YR","Years","0","Units",,,11.8,,
"ZAF","South Africa","EMP16","Expected number of years in retirement, by sex","WOMEN","Women","TOTAL","Total","2012","2012","YR","Years","0","Units",,,17.5,,
"OAVG","OECD - Average","EMP16","Expected number of years in retirement, by sex","MEN","Men","TOTAL","Total","2010","2010","YR","Years","0","Units",,,19.2,,
"OAVG","OECD - Average","EMP16","Expected number of years in retirement, by sex","MEN","Men","TOTAL","Total","2012","2012","YR","Years","0","Units",,,19.1,,
"OAVG","OECD - Average","EMP16","Expected number of years in retirement, by sex","WOMEN","Women","TOTAL","Total","2010","2010","YR","Years","0","Units",,,23.8,,
"OAVG","OECD - Average","EMP16","Expected number of years in retirement, by sex","WOMEN","Women","TOTAL","Total","2012","2012","YR","Years","0","Units",,,23.3,,
"IDN","Indonesia","EMP16","Expected number of years in retirement, by sex","MEN","Men","TOTAL","Total","2012","2012","YR","Years","0","Units",,,9.2,,
"ISR","Israel","EMP16","Expected number of years in retirement, by sex","WOMEN","Women","TOTAL","Total","2010","2010","YR","Years","0","Units",,,22.8,,
"IND","India","EMP16","Expected number of years in retirement, by sex","MEN","Men","TOTAL","Total","2010","2010","YR","Years","0","Units",,,11.5,,
"IND","India","EMP16","Expected number of years in retirement, by sex","WOMEN","Women","TOTAL","Total","2010","2010","YR","Years","0","Units",,,18.6,,
"IDN","Indonesia","EMP16","Expected number of years in retirement, by sex","WOMEN","Women","TOTAL","Total","2012","2012","YR","Years","0","Units",,,12,,
"IDN","Indonesia","EMP16","Expected number of years in retirement, by sex","WOMEN","Women","TOTAL","Total","2010","2010","YR","Years","0","Units",,,11,,
"BRA","Brazil","EMP16","Expected number of years in retirement, by sex","WOMEN","Women","TOTAL","Total","2010","2010","YR","Years","0","Units",,,22.4,,
"IND","India","EMP16","Expected number of years in retirement, by sex","WOMEN","Women","TOTAL","Total","2012","2012","YR","Years","0","Units",,,19.3,,
"CHN","China (People's Republic of)","EMP16","Expected number of years in retirement, by sex","MEN","Men","TOTAL","Total","2010","2010","YR","Years","0","Units",,,14.6,,
"BRA","Brazil","EMP16","Expected number of years in retirement, by sex","MEN","Men","TOTAL","Total","2010","2010","YR","Years","0","Units",,,16.1,,
"IND","India","EMP16","Expected number of years in retirement, by sex","MEN","Men","TOTAL","Total","2012","2012","YR","Years","0","Units",,,12.2,,
"RUS","Russia","EMP16","Expected number of years in retirement, by sex","MEN","Men","TOTAL","Total","2010","2010","YR","Years","0","Units",,,13.6,,
"CHN","China (People's Republic of)","EMP16","Expected number of years in retirement, by sex","WOMEN","Women","TOTAL","Total","2010","2010","YR","Years","0","Units",,,21.2,,
"ISR","Israel","EMP16","Expected number of years in retirement, by sex","MEN","Men","TOTAL","Total","2010","2010","YR","Years","0","Units",,,19,,
